Gender,Measures,Weights,Age
M,"(1.625, 1.3, 0.475)","(14.7133905, 8.674947, 12.65805175)",16
M,"(1.5875, 1.225, 0.4375)","(17.6617385, 7.66853975, 11.1980525)",11
F,"(1.675, 1.3, 0.4875)","(21.488921, 10.58853825, 14.33067225)",11
M,"(1.7375, 1.45, 0.5)","(19.1359125, 13.551061, 15.01106025)",13
I,"(1.0, 0.7875, 0.225)","(4.2807745, 1.927766, 2.26796)",6
M,"(0.775, 0.5625, 0.2)","(1.530873, 0.680388, 1.417475)",7
M,"(1.7625, 1.4, 0.55)","(23.17571625, 8.74582075, 21.54562)",14
F,"(1.6375, 1.3, 0.475)","(17.0097, 10.95708175, 10.8578585)",10
M,"(1.15, 0.85, 0.3375)","(4.69184225, 3.3168915, 5.2446575)",10
M,"(1.1125, 0.85, 0.3)","(5.4714535, 2.93417325, 3.685435)",9
M,"(1.8, 1.4375, 0.5375)","(26.97454925, 15.989118, 15.20950675)",12
I,"(0.85, 0.625, 0.1875)","(2.22543575, 1.14815475, 1.417475)",7
F,"(1.3625, 1.1, 0.4375)","(8.46232575, 5.31553125, 7.5126175)",11
M,"(1.5, 1.1625, 0.3875)","(17.70426275, 6.95980225, 9.355335)",10
M,"(1.2375, 1.0, 0.3)","(7.38504475, 4.5642695, 5.386405)",15
I,"(0.7375, 0.55, 0.175)","(1.45999925, 0.77961125, 0.9922325)",6
I,"(0.9875, 0.7375, 0.2375)","(3.2601925, 1.77184375, 2.4097075)",8
I,"(0.8375, 0.625, 0.2)","(1.97029025, 1.247378, 1.40330025)",6
F,"(1.2, 1.0125, 0.325)","(7.8528115, 4.09650275, 5.953395)",10
F,"(1.25, 1.0125, 0.35)","(7.5126175, 3.515338, 7.087375)",18
F,"(1.1, 0.825, 0.2875)","(4.0539785, 3.2034935, 3.40194)",8
F,"(1.4375, 1.15, 0.4125)","(14.13222575, 6.08096775, 7.98038425)",8
F,"(1.8125, 1.4, 0.4625)","(24.7491135, 10.4042665, 12.3320325)",11
F,"(1.5375, 1.3125, 0.3875)","(12.1052365, 6.56290925, 9.7805775)",11
M,"(1.575, 1.2125, 0.3625)","(14.35902175, 5.06038575, 9.53960675)",12
M,"(1.85, 1.3375, 0.4625)","(20.808533, 12.77144975, 9.4970825)",13
M,"(1.475, 1.225, 0.4125)","(15.8473705, 6.6621325, 8.7599955)",10
M,"(1.3375, 1.1, 0.375)","(7.257472, 3.9405805, 7.37087)",12
M,"(1.625, 1.2375, 0.4)","(15.592225, 7.64019025, 9.07184)",10
M,"(1.675, 1.275, 0.5)","(19.00833975, 10.90038275, 12.77144975)",10
M,"(1.6125, 1.25, 0.475)","(14.855138, 7.881161, 11.1980525)",17
I,"(1.2, 0.925, 0.3)","(7.1157245, 3.231843, 4.252425)",8
M,"(1.1875, 0.9625, 0.3)","(8.1930055, 2.56562975, 4.3374735)",8
I,"(0.8125, 0.5625, 0.1875)","(1.60174675, 0.907184, 2.551455)",6
I,"(1.3, 0.9875, 0.2875)","(8.94426725, 3.52951275, 5.273007)",11
M,"(1.4, 1.1625, 0.3625)","(9.48290775, 6.23689, 7.64019025)",9
M,"(1.125, 0.8875, 0.2875)","(5.10291, 3.35941575, 4.3941725)",10
M,"(1.7375, 1.3125, 0.4375)","(19.731252, 11.0279555, 14.3164975)",12
I,"(0.775, 0.5875, 0.1875)","(1.587572, 0.89300925, 1.417475)",7
F,"(1.725, 1.3875, 0.5125)","(22.07008575, 12.45960525, 14.5999925)",19
I,"(1.4, 1.0625, 0.35)","(11.35397475, 5.59902625, 7.37087)",10
M,"(1.8, 1.375, 0.5125)","(32.47435225, 12.54465375, 14.4865945)",13
M,"(1.2875, 0.9875, 0.3375)","(13.380964, 7.07320025, 7.144074)",8
I,"(1.3, 1.0625, 0.425)","(7.93786, 4.932813, 5.5281525)",10
M,"(1.5375, 1.15, 0.425)","(13.65028425, 7.711064, 7.654365)",10
F,"(1.1125, 0.8375, 0.275)","(5.74077375, 3.10427025, 3.38776525)",6
M,"(1.5, 1.125, 0.3625)","(12.26115875, 4.3941725, 6.80388)",9
F,"(1.8125, 1.4, 0.525)","(18.427175, 11.283101, 28.4912475)",18
M,"(1.25, 1.0375, 0.4125)","(7.0590255, 3.912231, 7.087375)",13
I,"(0.5375, 0.4125, 0.1375)","(0.75126175, 0.35436875, 0.52446575)",5
M,"(1.2625, 0.9625, 0.375)","(6.973977, 4.309124, 6.0951425)",12
M,"(1.425, 1.1, 0.3875)","(13.53688625, 6.56290925, 7.654365)",13
F,"(1.6375, 1.2875, 0.3875)","(14.855138, 9.808927, 10.9145575)",11
M,"(1.4875, 1.0875, 0.4)","(12.06271225, 6.350288, 8.788345)",9
M,"(1.4125, 1.125, 0.4)","(11.7650425, 5.5281525, 6.973977)",9
F,"(1.625, 1.2375, 0.4375)","(14.968536, 7.314171, 10.489315)",11
F,"(1.675, 1.2625, 0.4375)","(12.40290625, 7.6827145, 10.61688775)",10
I,"(1.5, 1.1875, 0.375)","(16.0174675, 6.98815175, 7.654365)",10
F,"(1.875, 1.425, 0.525)","(31.4395955, 14.72756525, 15.4504775)",11
I,"(0.95, 0.725, 0.25)","(3.061746, 1.11980525, 2.324659)",6
M,"(1.175, 0.9375, 0.325)","(6.066793, 3.742134, 4.1106775)",8
M,"(0.875, 0.6375, 0.2)","(2.26796, 1.09145575, 1.7860185)",9
I,"(0.575, 0.4125, 0.15)","(0.5386405, 0.41106775, 1.020582)",4
I,"(0.625, 0.475, 0.1625)","(1.1056305, 0.4252425, 0.7087375)",5
F,"(1.625, 1.2375, 0.3875)","(17.4349425, 9.05766525, 9.4970825)",9
